,load (stationary),price actual,generation solar,generation wind onshore,generation fossil gas
load (stationary),0.0,670.2877310777324,633.854463501875,28.086878862085833,139.7769618933325
price actual,871.9928968692979,0.0,178.78407792567333,8.91687592455478,371.1617446335417
generation solar,947.3755838410433,724.623906657508,0.0,173.6647174814768,476.0893547128629
generation wind onshore,17.51186493325636,7.838636956949095,72.2932406308054,0.0,15.270873587314336
generation fossil gas,544.593487660313,465.1545676807826,311.20276793864804,187.6438902578264,0.0
